iter	Passed	Remaining
166	663	3308
167	665	3296
168	670	3298
169	675	3295
170	677	3286
171	680	3276
172	684	3270
173	687	3263
174	690	3253
175	693	3244
176	695	3236
177	700	3234
178	703	3227
179	706	3217
180	708	3206
181	711	3197
182	715	3194
183	718	3186
184	720	3176
185	723	3167
186	726	3158
187	731	3159
188	734	3150
189	736	3141
190	739	3132
191	742	3123
192	746	3119
193	749	3112
194	751	3103
195	754	3094
196	758	3091
197	761	3085
198	764	3075
199	766	3066
200	769	3057
201	774	3059
202	777	3052
203	780	3044
204	782	3036
205	784	3025
206	787	3016
207	789	3007
208	791	2996
209	793	2986
210	796	2977
211	798	2967
212	800	2957
213	804	2953
214	806	2944
215	808	2935
216	810	2926
217	813	2918
218	816	2913
219	819	2907
220	822	2898
221	824	2888
222	826	2878
223	828	2870
224	830	2859
225	834	2857
226	836	2848
227	838	2839
228	840	2829
229	842	2821
230	845	2814
231	848	2810
232	851	2801
233	853	2792
234	854	2783
235	856	2774
236	858	2764
237	862	2759
238	864	2751
239	866	2743
240	868	2735
241	870	2727
242	872	2717
243	875	2712
244	877	2704
245	879	2696
246	881	2688
247	883	2679
248	885	2671
249	887	2663
250	891	2659
251	893	2651
252	895	2643
253	897	2635
254	899	2627
255	901	2619
256	905	2618
257	907	2610
258	910	2603
259	912	2595
260	914	2588
261	915	2580
262	917	2572
263	922	2571
264	924	2564
265	926	2556
266	928	2549
267	930	2541
268	932	2533
269	936	2531
270	938	2524
271	940	2517
272	942	2510
273	944	2502
274	946	2495
275	950	2493
276	952	2485
277	954	2478
278	955	2470
279	957	2463
280	959	2455
281	961	2448
282	965	2445
283	967	2438
284	968	2430
285	970	2423
286	972	2416
287	974	2409
288	976	2402
289	979	2397
290	981	2391
291	983	2384
292	985	2378
293	987	2371
294	989	2364
295	991	2357
296	995	2356
297	997	2349
298	999	2343
299	1001	2336
300	1003	2329
301	1004	2322
302	1006	2315
303	1010	2312
304	1012	2306
305	1014	2301
306	1016	2294
307	1018	2287
308	1020	2281
309	1022	2275
310	1024	2270
311	1026	2264
312	1028	2258
313	1030	2251
314	1032	2245
315	1034	2239
316	1036	2233
317	1039	2229
318	1041	2223
319	1043	2217
320	1045	2211
321	1047	2205
322	1049	2199
323	1053	2198
324	1055	2192
325	1057	2187
326	1059	2181
327	1061	2175
328	1063	2169
329	1066	2164
330	1068	2159
331	1070	2153
332	1072	2147
333	1074	2141
334	1075	2135
335	1077	2129
336	1079	2123
337	1082	2120
338	1084	2115
339	1086	2109
340	1088	2104
341	1090	2098
342	1093	2093
343	1095	2089
344	1099	2087
345	1102	2083
346	1104	2079
347	1106	2073
348	1111	2072
349	1114	2069
350	1117	2065
351	1119	2060
352	1121	2055
353	1123	2050
354	1126	2047
355	1128	2042
356	1130	2036
357	1132	2031
358	1134	2026
359	1136	2020
360	1139	2017
361	1142	2013
362	1144	2008
363	1146	2003
364	1148	1998
365	1150	1993
366	1152	1988
367	1157	1988
368	1159	1982
369	1161	1977
370	1163	1972
371	1165	1967
372	1167	1962
373	1171	1960
374	1173	1955
375	1175	1950
376	1177	1945
377	1179	1940
378	1180	1934
379	1184	1932
380	1186	1927
381	1188	1922
382	1190	1917
383	1192	1912
384	1193	1907
385	1196	1902
386	1198	1898
387	1200	1893
388	1202	1888
389	1204	1883
390	1206	1879
391	1208	1873
392	1209	1868
393	1211	1863
394	1214	1860
395	1216	1855
396	1218	1850
397	1220	1845
398	1222	1841
399	1224	1836
400	1225	1831
401	1229	1828
402	1231	1823
403	1233	1819
404	1234	1813
405	1236	1808
406	1238	1803
407	1239	1799
408	1242	1795
409	1244	1790
410	1246	1786
411	1248	1781
412	1250	1776
413	1252	1772
414	1253	1767
415	1255	1762
416	1258	1760
417	1261	1755
418	1262	1751
419	1264	1746
420	1266	1741
421	1268	1736
422	1269	1732
423	1273	1729
424	1275	1725
425	1277	1721
426	1279	1716
427	1280	1711
428	1282	1706
429	1284	1702
430	1287	1700
431	1290	1696
432	1292	1691
433	1293	1687
434	1295	1682
